Road length (kilometres) by road type and local authority in Great Britain, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table RDL0202a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Department for Transport statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road lengths statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes are used throughout this table, please see the notes tab to find the related notes text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shorthand is used in this table. [-] denotes that there are no notes related to this row;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values in this table may not sum due to rounding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ONS Area 
Code";Region;Local Authority;Trunk motorways;Principal motorways;All motorways;Trunk rural 'A' roads;Trunk urban 'A' roads;Principal rural 'A' roads;Principal urban 'A' roads;All 'A' roads;Major trunk roads;Major principal roads;All major roads;Rural 'B' roads;Urban 'B' roads;Rural 'C and U' roads;Urban 'C and U' roads;All minor roads;Total road length ;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000047;North East;County Durham UA;36,8;0,0;36,8;42,7;1,0;324,2;44,3;412,2;80,5;368,5;449,0;359,4;42,5;2.002,1;997,5;3.401,5;3.850,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000005;North East;Darlington UA;9,5;0,0;9,5;12,4;0,4;36,2;15,9;64,9;22,3;52,1;74,4;19,9;9,2;184,7;271,4;485,1;559,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000037;North East;Gateshead;5,3;0,0;5,3;8,6;6,4;32,3;29,8;77,1;20,3;62,1;82,4;15,0;30,7;174,0;610,9;830,5;912,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000001;North East;Hartlepool UA;0,0;0,0;0,0;8,4;0,0;22,6;17,2;48,2;8,4;39,8;48,2;2,1;7,1;68,4;286,2;363,7;411,9;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000002;North East;Middlesbrough UA;0,0;0,0;0,0;9,2;5,3;7,6;26,3;48,4;14,5;33,9;48,4;13,7;17,4;45,6;441,2;517,9;566,3;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000021;North East;Newcastle upon Tyne;0,0;2,8;2,8;14,9;6,9;6,3;62,0;90,1;21,8;71,1;92,9;11,5;34,3;117,7;750,4;913,9;1.006,8;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000022;North East;North Tyneside;0,0;0,0;0,0;10,6;1,0;30,1;52,9;94,6;11,6;83,0;94,6;17,1;18,6;82,1;604,3;722,1;816,7;[Note 1] [Note 3] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000057;North East;Northumberland UA ;0,0;0,0;0,0;163,7;0,8;410,3;33,7;608,5;164,5;444,0;608,5;618,7;30,7;3.159,3;578,2;4.386,9;4.995,4;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000003;North East;Redcar and Cleveland UA;0,0;0,0;0,0;5,1;2,6;75,9;11,9;95,5;7,7;87,8;95,5;14,9;6,6;254,3;290,2;566,0;661,5;[Note 1] [Note 3] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000023;North East;South Tyneside;0,1;0,0;0,1;9,7;1,4;16,7;31,8;59,6;11,2;48,5;59,7;5,6;27,1;38,2;442,1;512,9;572,6;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000004;North East;Stockton-on-Tees UA;0,0;0,0;0,0;26,3;3,5;41,0;33,3;104,1;29,8;74,3;104,1;6,2;7,4;181,1;563,4;758,1;862,2;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000024;North East;Sunderland;3,9;0,0;3,9;12,4;0,5;37,0;57,9;107,8;16,8;94,9;111,7;15,4;33,2;123,0;904,0;1.075,7;1.187,4;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000008;North West;Blackburn with Darwen UA;8,0;0,0;8,0;0,0;0,0;16,8;39,0;55,8;8,0;55,8;63,8;7,0;11,8;89,5;358,5;466,7;530,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000009;North West;Blackpool UA;0,4;0,0;0,4;0,0;0,0;2,8;39,0;41,8;0,4;41,8;42,2;0,0;20,8;7,0;377,0;404,8;447,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000001;North West;Bolton;17,2;0,0;17,2;0,0;0,0;26,2;78,1;104,3;17,2;104,3;121,5;10,3;37,8;66,8;765,9;880,8;1.002,3;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E08000002;North West;Bury;21,1;0,0;21,1;0,0;0,0;11,0;44,5;55,5;21,1;55,5;76,6;6,9;25,7;43,5;449,7;525,9;602,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000049;North West;Cheshire East UA;47,3;0,0;47,3;8,1;0,0;321,7;94,1;423,9;55,4;415,8;471,2;100,4;46,7;1.236,0;899,4;2.282,5;2.753,7;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
